Dataset,Model,Variant,Recall5,Precision5,NDCG5,Recall10,Precision10,NDCG10
ML-1M,VBPR,MM,0.0733,0.1757,0.1882,0.1225,0.1534,0.1863
ML-1M,VBPR,ID,0.0879,0.2003,0.2146,0.1455,0.1741,0.2134
ML-1M,LATTICE,MM,0.0797,0.1880,0.2022,0.1317,0.1627,0.1991
ML-1M,LATTICE,ID,0.0875,0.1989,0.2126,0.1432,0.1704,0.2098
ML-1M,MMGCN,MM,0.0668,0.1636,0.1747,0.1112,0.1405,0.1707
ML-1M,MMGCN,ID,0.0746,0.1781,0.1920,0.1243,0.1541,0.1887
ML-1M,SLMRec,MM,0.0860,0.1669,0.1815,0.1411,0.1424,0.1830
ML-1M,SLMRec,ID,0.0829,0.1512,0.1645,0.1359,0.1285,0.1678
ML-1M,FREEDOM,MM,0.0853,0.1976,0.2113,0.1419,0.1710,0.2093
ML-1M,FREEDOM,ID,0.0796,0.1888,0.2030,0.1328,0.1622,0.1995
LFM-2K,VBPR,MM,0.1294,0.1096,0.1343,0.2128,0.0891,0.1754
LFM-2K,VBPR,ID,0.1303,0.1114,0.1356,0.1999,0.0848,0.1695
LFM-2K,LATTICE,MM,0.1397,0.1177,0.1425,0.2179,0.0912,0.1804
LFM-2K,LATTICE,ID,0.1438,0.1211,0.1468,0.2237,0.0936,0.1858
LFM-2K,MMGCN,MM,0.1261,0.1080,0.1316,0.1872,0.0803,0.1614
LFM-2K,MMGCN,ID,0.0976,0.0849,0.0992,0.1623,0.0696,0.1308
LFM-2K,SLMRec,MM,0.1538,0.1229,0.1590,0.2345,0.0934,0.1977
LFM-2K,SLMRec,ID,0.1344,0.1094,0.1381,0.2140,0.0868,0.1766
LFM-2K,FREEDOM,MM,0.1400,0.1180,0.1453,0.2225,0.0924,0.1849
LFM-2K,FREEDOM,ID,0.1276,0.1082,0.1329,0.2017,0.0848,0.1688
DBbook,VBPR,MM,0.0550,0.0306,0.0469,0.0901,0.0254,0.0624
DBbook,VBPR,ID,0.0746,0.0414,0.0660,0.1188,0.0334,0.0855
DBbook,LATTICE,MM,0.0594,0.0326,0.0528,0.0880,0.0243,0.0653
DBbook,LATTICE,ID,0.0516,0.0291,0.0451,0.0827,0.0235,0.0588
DBbook,MMGCN,MM,0.0490,0.0281,0.0421,0.0830,0.0238,0.0571
DBbook,MMGCN,ID,0.0431,0.0244,0.0362,0.0746,0.0214,0.0501
DBbook,SLMRec,MM,0.1300,0.0719,0.1183,0.1859,0.0518,0.1430
DBbook,SLMRec,ID,0.1134,0.0631,0.1049,0.1643,0.0457,0.1272
DBbook,FREEDOM,MM,0.0783,0.0435,0.0674,0.1237,0.0346,0.0874
DBbook,FREEDOM,ID,0.0469,0.0263,0.0394,0.0811,0.0231,0.0546